"Country";"Language";"Reach";"Sentiment";"Key Phrases";"Keywords";"Twitter Authority";"Twitter Client";"Twitter Followers";"Twitter Following";"Alternate Date Format";"Time";"State";"City"
"Brazil";"Portuguese";152;"Positive";"boa espero";"#useamarelo";4;"Twitter for Android";152;396;"Jul 7, 2020";2:10 PM;"Pernambuco";"Recife"
"Brazil";"Portuguese";142;"Negative";"dinheiro pras,indústrias farmacêuticas,propaganda da cloroquina";"#useamarelo";4;"Twitter for Android";142;995;"Jul 7, 2020";2:10 PM;"Pará";"Belém"
"Brazil";"Portuguese";73;"Neutral";;"#useamarelo";3;"Twitter Web App";73;58;"Jul 7, 2020";2:10 PM;"Mato Grosso";
"Unknown";"Portuguese";443;"Negative";"B*ls";"#useamarelo";5;"Twitter Web App";443;187;"Jul 7, 2020";2:10 PM;;
"Unknown";"English";1173;"Negative";"diagnosis,hydroxychloroquine,possible treatment";"#useamarelo";6;"Twitter for Android";1173;387;"Jul 7, 2020";2:10 PM;;
"Unknown";"Portuguese";3216;"Neutral";;"#useamarelo";7;"Twitter for Android";3216;2996;"Jul 7, 2020";2:09 PM;;
"Argentina";"Portuguese";100;"Neutral";;"#useamarelo";3;"Twitter for Android";100;416;"Jul 7, 2020";2:09 PM;"Buenos Aires F.D.";"Buenos Aires"
"Unknown";"Portuguese";278;"Positive";;"#useamarelo";4;"Twitter for Android";278;290;"Jul 7, 2020";2:09 PM;;
"Brazil";"Portuguese";99;"Neutral";;"#useamarelo";4;"Twitter Web App";99;201;"Jul 7, 2020";2:09 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";516;"Neutral";;"#useamarelo";5;"Twitter for Android";516;412;"Jul 7, 2020";2:09 PM;"Goiás";"Uruana"
"Brazil";"Portuguese";714;"Neutral";"cargo de ministro da saúde";"#useamarelo";5;"Twitter for Android";714;1078;"Jul 7, 2020";2:08 PM;"Rio Grande do Norte";"Natal"
"Unknown";"Portuguese";239;"Neutral";;"#useamarelo";4;"Twitter for iPhone";239;317;"Jul 7, 2020";2:08 PM;;
"Unknown";"Portuguese";352;"Positive";;"#UseAmarelo";5;"Twitter for Android";352;497;"Jul 7, 2020";2:08 PM;;
"Brazil";"Portuguese";118;"Neutral";;"#useamarelo";4;"Twitter Web App";118;624;"Jul 7, 2020";2:08 PM;"Minas Gerais";"Belo Horizonte"
"Brazil";"Portuguese";519;"Neutral";;"#useamarelo";5;"Twitter for Android";519;1612;"Jul 7, 2020";2:08 PM;"Mato Grosso";
"Brazil";"Portuguese";199;"Neutral";;"#useamarelo";4;"Twitter Web App";199;626;"Jul 7, 2020";2:08 PM;"Mato Grosso";
"Unknown";"Portuguese";23;"Neutral";;"#useamarelo";2;"Twitter for iPhone";23;52;"Jul 7, 2020";2:08 PM;;
"Unknown";"Portuguese";126;"Neutral";;"#useamarelo";4;"Twitter for Android";126;1858;"Jul 7, 2020";2:08 PM;;
"Unknown";"Portuguese";318;"Neutral";;"#useamarelo";5;"Twitter Web App";318;255;"Jul 7, 2020";2:08 PM;;
"Brazil";"Portuguese";697;"Negative";;"#useamarelo";6;"Twitter for iPhone";697;288;"Jul 7, 2020";2:08 PM;"Goiás";"Goiânia"
"Brazil";"Portuguese";1206;"Positive";;"#useamarelo";6;"Twitter for Android";1206;587;"Jul 7, 2020";2:07 PM;"Mato Grosso";
"Brazil";"Portuguese";660;"Negative";;"#useamarelo";5;"Twitter for iPhone";660;851;"Jul 7, 2020";2:07 PM;"Federal District";"Brasília"
"Brazil";"Portuguese";385;"Negative";;"#useamarelo";4;"Twitter for Android";385;1120;"Jul 7, 2020";2:07 PM;"Mato Grosso do Sul";"Campo Grande"
"Unknown";"Portuguese";372;"Positive";"boa disso";"#UseAmarelo";5;"Twitter Web App";372;338;"Jul 7, 2020";2:07 PM;;
"Brazil";"Portuguese";38;"Positive";;"#useamarelo";2;"Twitter for iPhone";38;223;"Jul 7, 2020";2:06 PM;"Pará";"Tucuruí"
"Unknown";"unknown";679;"Not Rated";;"#UseAmarelo";5;"Twitter for Android";679;825;"Jul 7, 2020";2:06 PM;;
"Brazil";"Portuguese";13178;"Negative";;"#UseAmarelo";8;"Twitter for Android";13178;4474;"Jul 7, 2020";2:06 PM;"Minas Gerais";"Belo Horizonte"
"United Kingdom";"Portuguese";1005;"Neutral";;"#useamarelo";6;"Twitter for Android";1005;583;"Jul 7, 2020";2:05 PM;"England";"London"
"Brazil";"Portuguese";685;"Positive";;"#useamarelo";5;"Twitter for Android";685;2475;"Jul 7, 2020";2:05 PM;"Bahia";"Salvador"
"Unknown";"Portuguese";1429;"Negative";;"#useamarelo";6;"Twitter for Android";1429;1175;"Jul 7, 2020";2:05 PM;;
"Brazil";"Portuguese";319;"Neutral";;"#useamarelo";5;"Twitter Web App";319;364;"Jul 7, 2020";2:05 PM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";27;"Positive";;"#useamarelo";3;"Twitter for Android";27;163;"Jul 7, 2020";2:04 PM;;
"Unknown";"Portuguese";433;"Neutral";;"#useamarelo";5;"Twitter for iPhone";433;369;"Jul 7, 2020";2:04 PM;;
"Brazil";"Portuguese";6262;"Neutral";;"#useamarelo";7;"Twitter for iPhone";6262;5265;"Jul 7, 2020";2:03 PM;"Federal District";"Brasília"
"Unknown";"Spanish / Castilian";326;"Neutral";"gotículas contaminas";"#useamarelo";5;"Twitter for iPhone";326;296;"Jul 7, 2020";2:03 PM;;
"Unknown";"Portuguese";538;"Positive";"foto KKKKKK";"#useamarelo";5;"Twitter for Android";538;1277;"Jul 7, 2020";2:03 PM;;
"Brazil";"Portuguese";14724;"Negative";;"#useamarelo";8;"Twitter for iPhone";14724;761;"Jul 7, 2020";2:02 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";323;"Negative";"cheiro das bosta";"#useamarelo";5;"Twitter for Android";323;2162;"Jul 7, 2020";2:02 PM;"Rio Grande do Norte";"Natal"
"Brazil";"Portuguese";118;"Neutral";;"#useamarelo";4;"Twitter for Android";118;104;"Jul 7, 2020";2:02 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";357;"Negative";"mto tempo";"#useamarelo";5;"Twitter for Android";357;540;"Jul 7, 2020";2:01 PM;"Santa Catarina";"Blumenau"
"Unknown";"Portuguese";315;"Neutral";;"#useamarelo";5;"Twitter for Android";315;531;"Jul 7, 2020";2:01 PM;;
"Unknown";"unknown";187;"Not Rated";;"#UseAmarelo";4;"Twitter for Android";187;686;"Jul 7, 2020";2:01 PM;;
"Brazil";"Portuguese";379;"Positive";;"#useamarelo";5;"Twitter Web App";379;482;"Jul 7, 2020";2:00 PM;"Rio de Janeiro";"Niterói"
"Brazil";"Portuguese";483;"Neutral";;"#useamarelo";5;"Twitter for iPhone";483;250;"Jul 7, 2020";2:00 PM;"São Paulo";"Santo André"
"United States";"Portuguese";680;"Neutral";;"#useamarelo";5;"Twitter Web App";680;406;"Jul 7, 2020";1:59 PM;"Texas";"Pampa"
"Chile";"Portuguese";2127;"Neutral";;"#useamarelo";6;"Twitter for Android";2127;2108;"Jul 7, 2020";1:59 PM;"Valparaíso";"Valparaíso"
"Unknown";"English";80;"Negative";"diagnosis,hydroxychloroquine,possible treatment";"#useamarelo";3;"Twitter for Android";80;242;"Jul 7, 2020";1:59 PM;;
"Unknown";"unknown";60;"Not Rated";;"#useamarelo";3;"Twitter for Android";60;322;"Jul 7, 2020";1:59 PM;;
"Brazil";"Portuguese";1178;"Neutral";;"#useamarelo";6;"Twitter for iPhone";1178;481;"Jul 7, 2020";1:58 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";137;"Neutral";;"#useamarelo";4;"Twitter for iPhone";137;669;"Jul 7, 2020";1:58 PM;"Pernambuco";"Recife"
"Brazil";"Portuguese";112;"Neutral";;"#useamarelo";4;"Twitter for Android";112;615;"Jul 7, 2020";1:58 PM;"Mato Grosso";
"Unknown";"Portuguese";12;"Positive";;"#useamarelo";2;"Twitter for iPhone";12;88;"Jul 7, 2020";1:58 PM;;
"France";"unknown";283;"Not Rated";;"#useamarelo";5;"Twitter for iPhone";283;247;"Jul 7, 2020";1:56 PM;"Centre";"Sceaux-du-Gâtinais"
"Unknown";"Portuguese";249;"Neutral";;"#useamarelo";4;"Twitter for Android";249;424;"Jul 7, 2020";1:56 PM;;
"Brazil";"Portuguese";178;"Neutral";;"#useamarelo";4;"Twitter Web App";178;784;"Jul 7, 2020";1:56 PM;"Rio de Janeiro";"Rio de Janeiro"
"Brazil";"Portuguese";101;"Negative";"povo igual";"#useamarelo";3;"Twitter for Android";101;119;"Jul 7, 2020";1:56 PM;"Mato Grosso";
"Brazil";"Portuguese";455;"Neutral";;"#useamarelo";5;"Twitter for Android";455;114;"Jul 7, 2020";1:56 PM;"Rio Grande do Norte";"Natal"
"Brazil";"Portuguese";1954;"Neutral";;"#useamarelo";7;"Twitter Web App";1954;278;"Jul 7, 2020";1:56 PM;"Minas Gerais";"Tupaciguara"
"Brazil";"English";559;"Negative";"chloroquine,death,thousands of lives";"#useamarelo";5;"Twitter for Android";559;503;"Jul 7, 2020";1:55 PM;"Paraná";"Curitiba"
"Unknown";"Portuguese";13;"Negative";"influencer político";"#useamarelo";1;"Twitter for Android";13;114;"Jul 7, 2020";1:55 PM;;
"Unknown";"Portuguese";95;"Negative";;"#useamarelo";3;"Twitter for iPhone";95;347;"Jul 7, 2020";1:55 PM;;
"Unknown";"Portuguese";890;"Positive";;"#useamarelo";6;"Twitter for iPhone";890;462;"Jul 7, 2020";1:55 PM;;
"Unknown";"unknown";218;"Not Rated";;"#useamarelo";4;"Twitter for Android";218;295;"Jul 7, 2020";1:55 PM;;
"Unknown";"Portuguese";126;"Neutral";;"#useamarelo";4;"Twitter for Android";126;143;"Jul 7, 2020";1:54 PM;;
"Brazil";"Portuguese";226;"Neutral";;"#useamarelo";4;"Twitter Web App";226;315;"Jul 7, 2020";1:54 PM;"Mato Grosso";
"Brazil";"Portuguese";1454;"Negative";;"#useamarelo";6;"Twitter for iPhone";1454;843;"Jul 7, 2020";1:54 PM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";82;"Neutral";;"#useamarelo";3;"Twitter Web App";82;459;"Jul 7, 2020";1:54 PM;;
"Unknown";"English";264;"Negative";;"#useamarelo";4;"Twitter for iPhone";264;687;"Jul 7, 2020";1:54 PM;;
"Brazil";"Italian";559;"Positive";"putz a foto";"#useamarelo";5;"Twitter for Android";559;351;"Jul 7, 2020";1:53 PM;"Minas Gerais";"Belo Horizonte"
"Brazil";"Portuguese";1207;"Positive";;"#useamarelo";6;"Twitter Web App";1207;1160;"Jul 7, 2020";1:53 PM;"Piauí";"Teresina"
"Brazil";"Portuguese";2502;"Neutral";;"#useamarelo";6;"Twitter for Android";2502;3611;"Jul 7, 2020";1:53 PM;"Federal District";"Brasília"
"Brazil";"Portuguese";661;"Positive";;"#useamarelo";5;"Twitter Web App";661;426;"Jul 7, 2020";1:52 PM;"Maranhão";"São Luís"
"Brazil";"English";1344;"Negative";"diagnosis,hydroxychloroquine,possible treatment";"#useamarelo";6;"Twitter for Android";1344;2464;"Jul 7, 2020";1:52 PM;;
"Brazil";"Portuguese";661;"Neutral";;"#useamarelo";5;"Twitter Web App";661;426;"Jul 7, 2020";1:52 PM;"Maranhão";"São Luís"
"Brazil";"Portuguese";264;"Neutral";;"#useamarelo";4;"Twitter Web App";264;2243;"Jul 7, 2020";1:52 PM;"Paraná";"Foz do Iguaçu"
"Brazil";"English";126;"Positive";;"#useamarelo";4;"Twitter for Android";126;303;"Jul 7, 2020";1:51 PM;"Mato Grosso";
"Unknown";"Portuguese";319;"Positive";;"#useamarelo";5;"Twitter for Android";319;1055;"Jul 7, 2020";1:51 PM;;
"Unknown";"Portuguese";60;"Negative";;"#useamarelo";3;"Twitter for iPhone";60;59;"Jul 7, 2020";1:51 PM;;
"Brazil";"Portuguese";304;"Negative";"corno do caralho";"#useamarelo";5;"Twitter for Android";304;189;"Jul 7, 2020";1:51 PM;"Pará";"Belém"
"Unknown";"unknown";60;"Not Rated";;"#UseAmarelo";3;"Twitter for Android";60;609;"Jul 7, 2020";1:51 PM;;
"Brazil";"Portuguese";843;"Neutral";;"#useamarelo";5;"Twitter for iPhone";843;2390;"Jul 7, 2020";1:51 PM;"Mato Grosso";
"Brazil";"Portuguese";1315;"Neutral";;"#useamarelo";6;"Twitter for Android";1315;1559;"Jul 7, 2020";1:51 PM;"São Paulo";"Santos"
"Ecuador";"Portuguese";453;"Neutral";;"#useamarelo";5;"Twitter Web App";453;452;"Jul 7, 2020";1:50 PM;"Morona-Santiago";
"Colombia";"Portuguese";537;"Neutral";;"#useamarelo";5;"Twitter for Android";537;102;"Jul 7, 2020";1:50 PM;"Bogota D.C.";
"Unknown";"Portuguese";37;"Neutral";;"#useamarelo";2;"Twitter Web App";37;122;"Jul 7, 2020";1:50 PM;;
"Unknown";"unknown";846;"Not Rated";;"#useamarelo";6;"Twitter for iPhone";846;551;"Jul 7, 2020";1:50 PM;;
"Netherlands";"Portuguese";476;"Positive";;"#useamarelo";5;"Twitter for Android";476;333;"Jul 7, 2020";1:49 PM;;
"Brazil";"Portuguese";158;"Neutral";;"#useamarelo";4;"Twitter for iPad";158;333;"Jul 7, 2020";1:48 PM;"São Paulo";"São José do Rio Preto"
"Unknown";"Portuguese";47163;"Neutral";;"#useamarelo";9;"Twitter for iPhone";47163;14419;"Jul 7, 2020";1:47 PM;;
"Brazil";"Portuguese";149;"Negative";;"#useamarelo";4;"Twitter for Android";149;776;"Jul 7, 2020";1:47 PM;"São Paulo";
"Unknown";"Portuguese";973;"Positive";"Deus te guarde";"#useamarelo";6;"Twitter for Android";973;394;"Jul 7, 2020";1:47 PM;;
"Brazil";"Portuguese";1766;"Negative";"forcas covid";"#useamarelo";6;"Twitter for Android";1766;388;"Jul 7, 2020";1:45 PM;"Rio de Janeiro";"Armação de Búzios"
"Unknown";"unknown";226;"Not Rated";;"#useamarelo";4;"Twitter Web App";226;365;"Jul 7, 2020";1:45 PM;;
"Brazil";"Portuguese";9039;"Positive";;"#useamarelo";8;"Twitter for iPhone";9039;6547;"Jul 7, 2020";1:45 PM;"São Paulo";"Guarulhos"
"Unknown";"Portuguese";695;"Negative";"saco de bosta";"#useamarelo";6;"Twitter for Android";695;27;"Jul 7, 2020";1:45 PM;;
"Unknown";"Portuguese";2680;"Positive";;"#useamarelo";6;"Twitter Web App";2680;4951;"Jul 7, 2020";1:45 PM;;
"Argentina";"Spanish / Castilian";1724;"Positive";;"#useamarelo";6;"Twitter for iPhone";1724;1178;"Jul 7, 2020";1:44 PM;"Santa Fe";"Rosario"
"Brazil";"Portuguese";1907;"Negative";;"#useamarelo";6;"Twitter for iPhone";1907;993;"Jul 7, 2020";1:43 PM;"Mato Grosso";
"Unknown";"Spanish / Castilian";35;"Positive";;"#useamarelo";2;"Twitter for iPhone";35;56;"Jul 7, 2020";1:43 PM;;
"Unknown";"Portuguese";287;"Neutral";;"#useamarelo";4;"Twitter Web App";287;1959;"Jul 7, 2020";1:43 PM;;
"Unknown";"English";488;"Negative";"diagnosis,hydroxychloroquine,possible treatment";"#useamarelo";5;"Twitter for iPhone";488;233;"Jul 7, 2020";1:43 PM;;
"Unknown";"Catalan";1;"Not Rated";;"#useamarelo";1;"Twitter for Android";1;30;"Jul 7, 2020";1:42 PM;;
"Unknown";"unknown";906;"Not Rated";;"#useamarelo";6;"Twitter for iPhone";906;339;"Jul 7, 2020";1:42 PM;;
"Brazil";"Portuguese";983;"Neutral";;"#useamarelo";5;"Twitter Web App";983;922;"Jul 7, 2020";1:41 PM;"Rio Grande do Sul";"Rio Grande"
"Unknown";"Portuguese";92;"Negative";;"#useamarelo";4;"Twitter for iPhone";92;208;"Jul 7, 2020";1:41 PM;;
"Brazil";"Portuguese";703;"Positive";;"#useamarelo";5;"Twitter for Android";703;699;"Jul 7, 2020";1:41 PM;"Acre";"Rio Branco"
"Brazil";"Portuguese";780;"Neutral";;"#useamarelo";5;"Twitter for Android";780;1431;"Jul 7, 2020";1:40 PM;"Rio de Janeiro";"Rio de Janeiro"
"Unknown";"Portuguese";24;"Negative";;"#useamarelo";2;"Twitter for Android";24;613;"Jul 7, 2020";1:40 PM;;
"Brazil";"Portuguese";366;"Negative";;"#useamarelo";5;"Twitter for iPhone";366;594;"Jul 7, 2020";1:39 PM;"São Paulo";"Guarulhos"
"Brazil";"Portuguese";211;"Neutral";;"#useamarelo";4;"Twitter for Android";211;1574;"Jul 7, 2020";1:39 PM;"São Paulo";"São Paulo"
"Italy";"Portuguese";123;"Neutral";;"#useamarelo";4;"Twitter for iPhone";123;277;"Jul 7, 2020";1:39 PM;"Piedmont";"Crivelle"
"Unknown";"Portuguese";3784;"Positive";;"#useamarelo";7;"Twitter for Android";3784;955;"Jul 7, 2020";1:39 PM;;
"Brazil";"Portuguese";441;"Positive";;"#useamarelo";5;"Twitter Web App";441;371;"Jul 7, 2020";1:39 PM;"Paraná";"Curitiba"
"Brazil";"Portuguese";44;"Neutral";;"#useamarelo";3;"Twitter for Android";44;241;"Jul 7, 2020";1:39 PM;"Mato Grosso";
"Unknown";"unknown";21484;"Not Rated";;"#useamarelo";9;"Twitter for iPhone";21484;409;"Jul 7, 2020";1:39 PM;;
"Brazil";"Portuguese";366;"Neutral";;"#useamarelo";5;"Twitter for Android";366;2126;"Jul 7, 2020";1:39 PM;"Goiás";"Goiânia"
"Brazil";"Portuguese";2300;"Positive";;"#useamarelo";7;"Twitter for iPhone";2300;446;"Jul 7, 2020";1:38 PM;"Mato Grosso";
"Unknown";"Portuguese";2160;"Negative";;"#useamarelo";6;"Twitter for iPhone";2160;2045;"Jul 7, 2020";1:38 PM;;
"Unknown";"Portuguese";1359;"Negative";"Pousar de vítima";"#useamarelo";6;"Twitter for iPhone";1359;2344;"Jul 7, 2020";1:37 PM;;
"Brazil";"Portuguese";6730;"Neutral";;"#useamarelo";8;"Twitter for iPhone";6730;916;"Jul 7, 2020";1:37 PM;"Federal District";"Brasília"
"Portugal";"Portuguese";1018;"Negative";;"#useamarelo";6;"Twitter for Android";1018;484;"Jul 7, 2020";1:37 PM;"Madeira";"São Jorge"
"Colombia";"Portuguese";16507;"Neutral";;"#useamarelo";8;"Twitter for Android";16507;1681;"Jul 7, 2020";1:37 PM;"Bogota D.C.";
"Brazil";"Portuguese";42;"Positive";"pomba do divino";"#useamarelo";3;"Twitter for iPhone";42;393;"Jul 7, 2020";1:37 PM;"São Paulo";"São Paulo"
"Brazil";"unknown";128;"Not Rated";;"#useamarelo";4;"Twitter for Android";128;150;"Jul 7, 2020";1:37 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";492;"Negative";;"#useamarelo";5;"Twitter for iPhone";492;552;"Jul 7, 2020";1:37 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";370;"Neutral";;"#useamarelo";5;"Twitter for iPhone";370;461;"Jul 7, 2020";1:37 PM;"São Paulo";"São Paulo"
"Unknown";"English";436;"Negative";;"#useamarelo";5;"Twitter for Android";436;1513;"Jul 7, 2020";1:36 PM;;
"Unknown";"Portuguese";10;"Positive";"todo mundo";"#useamarelo";1;"Twitter Web App";10;186;"Jul 7, 2020";1:36 PM;;
"Italy";"Italian";5239;"Positive";;"#useamarelo";7;"Twitter Web App";5239;4229;"Jul 7, 2020";1:36 PM;"Campania";"Naples"
"Unknown";"Portuguese";827;"Neutral";;"#useamarelo";6;"Twitter Web App";827;420;"Jul 7, 2020";1:36 PM;;
"Unknown";"Portuguese";3441;"Neutral";;"#useamarelo";7;"Twitter for Android";3441;4696;"Jul 7, 2020";1:36 PM;;
"Brazil";"Portuguese";685;"Positive";;"#useamarelo";5;"Twitter Web App";685;539;"Jul 7, 2020";1:35 PM;"Pernambuco";"Recife"
"Brazil";"Portuguese";126;"Neutral";;"#useamarelo";4;"Twitter for iPhone";126;713;"Jul 7, 2020";1:35 PM;"Alagoas";"Maceió"
"Unknown";"Portuguese";1340;"Positive";;"#useamarelo";6;"Twitter for Android";1340;1163;"Jul 7, 2020";1:35 PM;;
"Brazil";"Portuguese";401;"Negative";"casa coisa,gente ces";"#useamarelo";5;"Twitter for iPhone";401;156;"Jul 7, 2020";1:34 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";143;"Neutral";;"#useamarelo";4;"Twitter for Android";143;488;"Jul 7, 2020";1:34 PM;"São Paulo";"São José do Rio Preto"
"Brazil";"Portuguese";315;"Positive";;"#UseAmarelo";5;"Twitter for Android";315;886;"Jul 7, 2020";1:34 PM;"Goiás";"Goiânia"
"Unknown";"unknown";258;"Not Rated";;"#useamarelo";4;"Twitter for Android";258;357;"Jul 7, 2020";1:34 PM;;
"Unknown";"Portuguese";14;"Neutral";;"#useamarelo";2;"Twitter Web App";14;155;"Jul 7, 2020";1:34 PM;;
"Bosnia and Herzegovina";"Portuguese";73;"Negative";;"#useamarelo";3;"Twitter for Android";73;123;"Jul 7, 2020";1:34 PM;"Federation of B&H";"Lokvine"
"Brazil";"Portuguese";293;"Neutral";;"#useamarelo";5;"Twitter for Android";293;1590;"Jul 7, 2020";1:34 PM;"Goiás";"Goiânia"
"Brazil";"Portuguese";993;"Positive";;"#useamarelo";6;"Twitter for Android";993;971;"Jul 7, 2020";1:34 PM;"Mato Grosso";
"Unknown";"Portuguese";2079;"Neutral";;"#useamarelo";7;"Twitter for iPhone";2079;739;"Jul 7, 2020";1:34 PM;;
"United States";"Portuguese";125;"Positive";"imagem perfeita";"#useamarelo";4;"Twitter for iPhone";125;547;"Jul 7, 2020";1:34 PM;"Illinois";"Pawnee"
"Brazil";"Portuguese";144;"Negative";"notícia dessas";"#useamarelo";4;"Twitter Web App";144;594;"Jul 7, 2020";1:34 PM;"Pernambuco";"Paulista"
"Unknown";"Portuguese";951;"Neutral";;"#useamarelo";5;"Twitter for Android";951;1008;"Jul 7, 2020";1:33 PM;;
"Unknown";"Portuguese";251;"Neutral";;"#useamarelo";4;"Twitter for Android";251;161;"Jul 7, 2020";1:33 PM;;
"Brazil";"Portuguese";173;"Neutral";;"#useamarelo";4;"Twitter for Android";173;374;"Jul 7, 2020";1:31 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";303;"Negative";;"#useamarelo";5;"Twitter for iPhone";303;226;"Jul 7, 2020";1:31 PM;"São Paulo";"Guarulhos"
"Unknown";"Portuguese";233;"Neutral";"classe trabalhadora,direitos trabalhistas,foto de perfil,grandes empresários,queima de burgueses";"#UseAmarelo";4;"Twitter Web App";233;410;"Jul 7, 2020";1:30 PM;;
"Russia";"Portuguese";197;"Negative";;"#useamarelo";4;"Twitter for Android";197;465;"Jul 7, 2020";1:30 PM;"Orenburg Oblast";"Orenburg"
"Brazil";"Portuguese";225;"Positive";;"#useamarelo";4;"Twitter for Android";225;636;"Jul 7, 2020";1:30 PM;"Rio de Janeiro";
"Brazil";"unknown";1210;"Not Rated";;"#UseAmarelo";6;"Twitter for Android";1210;1081;"Jul 7, 2020";1:30 PM;"Rio de Janeiro";"Rio de Janeiro"
"Greece";"Romanian";162;"Not Rated";;"#useamarelo";4;"Twitter Web App";162;228;"Jul 7, 2020";1:30 PM;"Attica";"Athens"
"Unknown";"unknown";270;"Not Rated";;"#UseAmarelo";4;"Twitter for Android";270;422;"Jul 7, 2020";1:29 PM;;
"Botswana";"Portuguese";686;"Neutral";"grande mentira,histórico de atleta do alecrim dourado";"#useamarelo";5;"Twitter for Android";686;582;"Jul 7, 2020";1:29 PM;"Central";"Sua"
"Brazil";"Portuguese";839;"Negative";;"#useamarelo";5;"Twitter for Android";839;1446;"Jul 7, 2020";1:28 PM;"Minas Gerais";"Belo Horizonte"
"Unknown";"Portuguese";91;"Negative";;"#useamarelo";4;"Twitter for Android";91;155;"Jul 7, 2020";1:28 PM;;
"Brazil";"Portuguese";172;"Positive";"cartão corporativo";"#useamarelo";4;"Twitter for iPhone";172;389;"Jul 7, 2020";1:26 PM;"Rio de Janeiro";"Rio de Janeiro"
"Argentina";"Portuguese";397;"Neutral";;"#useamarelo";5;"Twitter for Android";397;1726;"Jul 7, 2020";1:26 PM;"Buenos Aires";"Zárate"
"Brazil";"Portuguese";96;"Negative";;"#useamarelo";3;"Twitter for iPhone";96;257;"Jul 7, 2020";1:25 PM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";60;"Positive";;"#UseAmarelo";3;"Twitter for Android";60;111;"Jul 7, 2020";1:25 PM;;
"Netherlands";"Portuguese";330;"Positive";;"#useamarelo";5;"Twitter for Android";330;1050;"Jul 7, 2020";1:25 PM;;
"Brazil";"Portuguese";463;"Positive";"flexão de pescoço";"#useamarelo";5;"Twitter for Android";463;87;"Jul 7, 2020";1:24 PM;"Pernambuco";"Cabo"
"Brazil";"Portuguese";44;"Neutral";;"#useamarelo";3;"Twitter Web App";44;323;"Jul 7, 2020";1:24 PM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";49;"Neutral";;"#useamarelo";3;"Twitter Web App";49;354;"Jul 7, 2020";1:23 PM;;
"Brazil";"Portuguese";151;"Neutral";"bela foto,histórico de atleta";"#useamarelo";4;"Twitter Web App";151;197;"Jul 7, 2020";1:22 PM;"Federal District";"Brasília"
"United States";"Portuguese";145;"Positive";;"#useamarelo";4;"Twitter for Android";145;733;"Jul 7, 2020";1:21 PM;"Montana";
"Unknown";"unknown";2542;"Not Rated";;"#useamarelo";7;"Twitter for Android";2542;1206;"Jul 7, 2020";1:21 PM;;
"Unknown";"Portuguese";59;"Negative";;"#useamarelo";3;"Twitter for iPhone";59;83;"Jul 7, 2020";1:20 PM;;
"Brazil";"Portuguese";319;"Positive";;"#useamarelo";5;"Twitter for iPhone";319;2040;"Jul 7, 2020";1:20 PM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";502;"Neutral";"influencer político";"#useamarelo";5;"Twitter Web App";502;354;"Jul 7, 2020";1:20 PM;;
"Brazil";"unknown";62;"Not Rated";;"#useamarelo";3;"Twitter for iPhone";62;188;"Jul 7, 2020";1:20 PM;"Rio de Janeiro";"Barra do Piraí"
"Brazil";"Swahili";231;"Not Rated";;"#useamarelo";4;"Twitter for Android";231;213;"Jul 7, 2020";1:20 PM;"Rio de Janeiro";
"Brazil";"unknown";186;"Not Rated";;"#useamarelo";4;"Twitter for Android";186;191;"Jul 7, 2020";1:20 PM;"Mato Grosso";
"Portugal";"English";274;"Positive";"God timing";"#useamarelo";4;"Twitter for Android";274;306;"Jul 7, 2020";1:19 PM;"Porto";"Campo"
"Peru";"Spanish / Castilian";2166;"Negative";;"#useamarelo";6;"Twitter for Android";2166;2100;"Jul 7, 2020";1:18 PM;"Lima";"Lima"
"United States";"unknown";12722;"Not Rated";;"#useamarelo";8;"Twitter for iPhone";12722;11299;"Jul 7, 2020";1:18 PM;"Louisiana";
"Brazil";"Portuguese";895;"Neutral";;"#useamarelo";6;"Twitter for Android";895;741;"Jul 7, 2020";1:18 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";2020;"Negative";;"#useamarelo";6;"Twitter for Android";2020;700;"Jul 7, 2020";1:18 PM;"Mato Grosso";
"Unknown";"Portuguese";108;"Positive";;"#UseAmarelo";4;"Twitter for Android";108;100;"Jul 7, 2020";1:17 PM;;
"Brazil";"English";88;"Positive";;"#useamarelo";3;"Twitter for Android";88;134;"Jul 7, 2020";1:17 PM;"Paraná";"Curitiba"
"Unknown";"Portuguese";2485;"Negative";"influencer político";"#useamarelo";7;"Twitter for Android";2485;451;"Jul 7, 2020";1:17 PM;;
"Unknown";"Portuguese";1047;"Negative";;"#useamarelo";6;"Twitter for Android";1047;1359;"Jul 7, 2020";1:17 PM;;
